Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s),Numero de Sensores,Real-time Mode,Cycle Time Constraint,Emergency Detection time Constraint
Sensor0,medio,16.3287,16.4235,0.09478,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,16.8289,16.9222,0.09326,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,17.3311,17426,0.09487,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,17.8348,17.9303,0.09553,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,18336,18.4332,0.09726,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,18.8365,18.9307,0.09416,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,19.3375,19434,0.09656,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,19.8361,19.93,0.09396,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,20337,20.4334,0.09642,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,20.8337,20.9267,0.09306,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,21.3377,21.4335,0.09577,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,21.8363,21.9294,0.09313,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,22.3366,22431,0.09438,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,22.8349,22.93,0.09504,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,23.3346,23.4311,0.0965,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,23.8342,23.9295,0.09527,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,24.3365,24.4315,0.09505,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,24.8361,24.93,0.09388,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,25.3352,25.4302,0.09508,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,25.8357,25.9292,0.09352,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,26.3376,26.4317,0.09403,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,26.8357,26.9298,0.09413,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,27.3374,27.4333,0.09587,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,27.8333,27.9303,0.09698,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,28.3367,28.4318,0.09511,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,28.8336,28.9306,0.09702,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,29.3344,29.4335,0.09911,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,29.8357,29931,0.09529,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,30.3369,30.4334,0.09643,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,30.8352,30.9785,0.14324,five,Real-time OFF,VIOLATED,SATISFIED
Sensor0,medio,31.3442,31.4417,0.09745,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,31.8452,31.9394,0.09422,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,32.3425,32.4384,0.09593,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,32.8422,32.9371,0.09483,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,33.3414,33.4355,0.09402,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,33.8423,33.9385,0.09616,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,34.3441,34.4423,0.09823,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,35.3418,35.4362,0.09445,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,36.3438,36.4405,0.09672,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,37.3431,37.4414,0.09827,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,38.3443,38439,0.09472,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,39.3425,39.44,0.0975,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,40.3427,40.4381,0.09534,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,41.3425,41.4393,0.09683,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,42.3417,42.4383,0.09659,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,43.3417,43.4398,0.09819,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,44.3426,44.4382,0.09566,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,45.3426,45.4389,0.0963,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,46.3418,46.4364,0.09468,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,47.3441,47.4406,0.09655,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,48.3424,48.4425,0.10009,five,Real-time OFF,VIOLATED,SATISFIED
Sensor0,medio,49.3456,49.4405,0.09487,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,50.3415,50.4376,0.09604,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,51.3434,51.4393,0.09594,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,52.3447,52.4403,0.09563,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,53.3431,53.4393,0.09617,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,54.3432,54.4415,0.09827,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,55342,55.4417,0.09972,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,56.3454,56.4393,0.09391,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,57.3476,57.4433,0.0957,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,58.3457,58.4433,0.09764,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,59.3458,59.4364,0.09056,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,60.3466,60.4429,0.0963,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,61.3488,61.4437,0.09496,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,62.3468,62.4436,0.09683,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,63.3478,63.4414,0.09362,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,64.3442,64.4425,0.09827,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,65.3441,65.4407,0.09668,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,66.3436,66.4417,0.09812,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,67.3478,67.4414,0.09368,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,68.3469,68.4423,0.09532,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,68.8482,68.9419,0.09369,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,69.3468,69.4416,0.09485,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,69.8429,69.9394,0.0965,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,70.3436,70.4404,0.09682,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,70.8445,70.9398,0.09529,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,71.3445,71.4408,0.09634,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,71.8456,71.9402,0.09464,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,71.9478,72039,0.09122,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.0462,72.14,0.09385,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.1471,72.2386,0.09145,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.2455,72.3415,0.09601,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.3504,72.4451,0.09462,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.4526,72.5384,0.08582,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.5451,72.6404,0.09521,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.6476,72.7406,0.09303,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.7476,72.8412,0.09364,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.8494,72.9435,0.09411,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,72.9506,73.0403,0.0897,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73.0478,73141,0.09325,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73.1485,73.2401,0.09154,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73.2471,73.3401,0.09308,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73.3489,73.4441,0.09516,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73.4514,73.5371,0.08572,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73.5445,73.6367,0.09219,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73643,73.7408,0.0978,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73.7489,73.8412,0.09223,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73.8488,73941,0.09222,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,73.9491,74.0423,0.09317,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.0495,74.1395,0.09001,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.1462,74.2403,0.09407,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.2477,74.3424,0.09474,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.3506,74.4415,0.09084,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.4485,74.5401,0.09153,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.5478,74.6418,0.09403,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.6498,74.7423,0.0925,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.7498,74.8435,0.09365,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.8506,74.9398,0.08917,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,74.9474,75039,0.0916,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.0458,75.1395,0.0937,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.1467,75.2421,0.09537,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.2499,75.3425,0.09261,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.3503,75.4412,0.09088,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.4482,75.5403,0.09211,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.5479,75.6399,0.09208,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.6468,75.7407,0.09395,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.7489,75.8426,0.09369,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.8501,75.9404,0.09031,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,75.9478,76.0389,0.09118,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,76.0454,76.1359,0.09049,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,76.1431,76.2421,0.09901,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,76.2504,76.3458,0.09532,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,76.3536,76.4398,0.08621,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,76.4474,76539,0.09164,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,76.5455,76.6391,0.09366,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,77.0439,77.1366,0.09271,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,77.5434,77.6371,0.09379,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,78.0448,78.1362,0.09142,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,78.5401,78.6338,0.09368,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,79.0422,79.1366,0.09437,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,79.5426,79.6367,0.09411,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,80.0444,80.1347,0.09026,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,80.5413,80.6353,0.09407,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,81.0438,81.1362,0.09238,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,81.5447,81.6383,0.09358,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,82.0471,82.1437,0.09655,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,82547,82.6396,0.09256,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,83045,83.1363,0.09127,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,83.5461,83.6369,0.09078,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,84.0427,84.1331,0.09039,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,84.5449,84.6344,0.08945,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,85.0472,85.1368,0.08958,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,85.5451,85.6356,0.0905,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,86.0461,86136,0.08994,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,86.5455,86.6384,0.09289,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,87.0433,87.1362,0.09287,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,87.5458,87.6376,0.09176,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,88.0452,88.1359,0.09068,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,88543,88.6349,0.09191,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,89.0442,89.1341,0.08984,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,89.5438,89.6346,0.09077,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,90.0446,90.1366,0.09206,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,90543,90.6348,0.09176,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,91.0457,91.1367,0.09091,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,91.5452,91.6378,0.09257,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,92.0447,92.1334,0.0887,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,92.5442,92.6364,0.09222,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,93.0446,93.1369,0.09233,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,93.5434,93.6354,0.09198,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,94045,94.1357,0.0907,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,94.5418,94.6353,0.09352,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,95.0444,95136,0.09163,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,95.5453,95.6357,0.09047,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,96.0442,96.1358,0.09156,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,96.5454,96.6371,0.0917,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,97.0453,97.1359,0.09058,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,97.5439,97.6363,0.09232,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,98.0426,98.1376,0.09492,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,98.5452,98638,0.09281,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99045,99.1371,0.09202,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99.1442,99.2407,0.09651,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99.2482,99.3411,0.09297,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99.3481,99.4389,0.0908,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99.4458,99.5413,0.09547,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99.5481,99.6393,0.09119,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99.6455,99.7406,0.09514,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99749,99.8415,0.0925,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99.8482,99.9405,0.09223,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,99.9472,100.04,0.09277,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,100047,100137,0.09045,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,100144,100242,0.09761,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,100644,100739,0.09517,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,101144,101241,0.09664,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,101644,101741,0.09712,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,102141,102239,0.09861,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,102642,102.74,0.09867,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,103143,103241,0.09774,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,103643,103739,0.09662,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,104139,104239,0.09988,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,104641,104738,0.09698,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,105141,105239,0.0977,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,105639,105739,0.09962,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,106141,106239,0.09752,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,106642,106.74,0.09796,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,106748,106844,0.09549,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,106.85,106.94,0.08957,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,106947,107039,0.09182,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,107046,107137,0.09123,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,107144,107242,0.09818,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,107641,107.74,0.0987,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,108143,108.24,0.09678,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,108642,108739,0.09762,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,109141,109.24,0.09897,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,109641,109738,0.09638,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,110.64,110739,0.09921,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,111142,111239,0.09749,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,111641,111741,0.0995,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,112142,112235,0.09307,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,112641,112741,0.09992,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,113141,113238,0.09689,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,113643,113739,0.09596,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,114141,114236,0.09463,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,114641,114.74,0.09934,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,115141,115237,0.09571,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,115643,115.74,0.09628,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,116.14,116235,0.09509,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,116641,116737,0.09605,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,117141,117.24,0.09845,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,117642,117737,0.09518,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,118143,118238,0.09484,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,118641,118738,0.09673,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,119141,119239,0.09857,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,119643,119737,0.09374,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,120146,120.24,0.0934,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,120646,120741,0.09531,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,121148,121.24,0.09207,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,121646,121741,0.09505,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,122145,122.24,0.09523,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,122642,122738,0.09597,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,123143,123238,0.0949,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,123644,123.74,0.09568,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,124146,124239,0.0935,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,124642,124.74,0.09757,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,125143,125241,0.09775,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,125644,125741,0.09685,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,126143,126238,0.09447,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,126643,126739,0.09581,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,127141,127241,0.1003,five,Real-time OFF,VIOLATED,SATISFIED
Sensor0,medio,127644,127738,0.09382,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,128141,128235,0.09447,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,128642,128735,0.09321,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,129142,129.24,0.09778,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,129643,129.74,0.09754,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,130144,130.24,0.09595,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,130645,130739,0.09423,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,131143,131.24,0.09697,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,131645,131.74,0.09429,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,132146,132241,0.09568,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,132648,132.74,0.0928,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,133142,133236,0.09378,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,133642,133737,0.09507,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,134141,134237,0.09592,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,134648,134739,0.09089,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,135147,135241,0.09468,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,135647,135742,0.09497,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,136146,136.24,0.09346,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,136647,136.74,0.09352,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,137142,137241,0.09909,five,Real-time OFF,SATISFIED,SATISFIED
