'﻿Sensor remetente',' Estado do Paciente',' Enviado às (s)',' Processado às (s)',' Diff (s)',Sensors,'Cycle Time Constraint','Emergency Detection Time Constraint'
Sensor0,ruim,230365,230459,0.09361,five,SATISFIED,SATISFIED
Sensor0,medio,230566,230.66,0.09423,five,SATISFIED,SATISFIED
Sensor0,medio,234365,234455,0.09011,five,SATISFIED,SATISFIED
Sensor0,medio,234565,234658,0.09315,five,SATISFIED,SATISFIED
Sensor0,ruim,236864,236958,0.0938,five,SATISFIED,SATISFIED
Sensor0,medio,237763,237856,0.0931,five,SATISFIED,SATISFIED
Sensor0,bom,237863,237961,0.09798,five,SATISFIED,SATISFIED
Sensor0,ruim,241163,241259,0.09546,five,SATISFIED,SATISFIED
Sensor0,ruim,241265,241361,0.09525,five,SATISFIED,SATISFIED
Sensor0,ruim,242064,242158,0.09435,five,SATISFIED,SATISFIED
Sensor0,medio,245062,245157,0.09526,five,SATISFIED,SATISFIED
Sensor0,bom,245163,245258,0.09492,five,SATISFIED,SATISFIED
Sensor0,ruim,247562,247658,0.09674,five,SATISFIED,SATISFIED
Sensor0,ruim,247665,247.76,0.09477,five,SATISFIED,SATISFIED
Sensor0,medio,248264,248362,0.09798,five,SATISFIED,SATISFIED
Sensor0,medio,248468,248555,0.08697,five,SATISFIED,SATISFIED
Sensor0,ruim,253362,253458,0.0954,five,SATISFIED,SATISFIED
Sensor0,medio,253861,253955,0.09378,five,SATISFIED,SATISFIED
Sensor0,bom,254163,254254,0.0916,five,SATISFIED,SATISFIED
Sensor0,ruim,257058,257156,0.09796,five,SATISFIED,SATISFIED
Sensor0,ruim,257266,257357,0.09138,five,SATISFIED,SATISFIED
Sensor0,ruim,261362,261458,0.0958,five,SATISFIED,SATISFIED
Sensor0,ruim,261567,261.66,0.09235,five,SATISFIED,SATISFIED
Sensor0,ruim,262263,262.36,0.09723,five,SATISFIED,SATISFIED
Sensor0,ruim,263262,263358,0.09577,five,SATISFIED,SATISFIED
Sensor0,ruim,263862,263957,0.09515,five,SATISFIED,SATISFIED
Sensor0,ruim,267162,267257,0.09493,five,SATISFIED,SATISFIED
Sensor0,medio,267662,267758,0.09674,five,SATISFIED,SATISFIED
Sensor0,ruim,267764,267862,0.09774,five,SATISFIED,SATISFIED
Sensor0,ruim,268261,268359,0.09825,five,SATISFIED,SATISFIED
Sensor0,ruim,268365,268461,0.0956,five,SATISFIED,SATISFIED
Sensor0,medio,273963,274057,0.09392,five,SATISFIED,SATISFIED
Sensor0,bom,274063,274159,0.09674,five,SATISFIED,SATISFIED
Sensor0,medio,274766,274859,0.09299,five,SATISFIED,SATISFIED
Sensor0,ruim,274865,274.96,0.0956,five,SATISFIED,SATISFIED
Sensor0,ruim,275763,275856,0.09348,five,SATISFIED,SATISFIED
Sensor0,ruim,275863,275956,0.09389,five,SATISFIED,SATISFIED
Sensor0,ruim,278062,278156,0.09374,five,SATISFIED,SATISFIED
Sensor0,medio,279863,279.96,0.09649,five,SATISFIED,SATISFIED
Sensor0,ruim,280066,280161,0.09521,five,SATISFIED,SATISFIED
Sensor0,medio,282264,282361,0.09716,five,SATISFIED,SATISFIED
Sensor0,bom,282565,282658,0.09279,five,SATISFIED,SATISFIED
Sensor0,ruim,294263,294357,0.09378,five,SATISFIED,SATISFIED
Sensor0,medio,294363,294.46,0.09649,five,SATISFIED,SATISFIED
Sensor0,ruim,294.66,294756,0.09632,five,SATISFIED,SATISFIED
Sensor0,ruim,295762,295855,0.09317,five,SATISFIED,SATISFIED
Sensor0,ruim,296464,296559,0.09535,five,SATISFIED,SATISFIED
Sensor0,medio,297064,297157,0.09353,five,SATISFIED,SATISFIED
Sensor0,ruim,298165,298261,0.09603,five,SATISFIED,SATISFIED
Sensor0,ruim,298862,298.96,0.09722,five,SATISFIED,SATISFIED
Sensor0,ruim,298966,299059,0.09281,five,SATISFIED,SATISFIED
Sensor0,ruim,300767,300859,0.09173,five,SATISFIED,SATISFIED
Sensor0,ruim,301065,301.16,0.09571,five,SATISFIED,SATISFIED
Sensor0,medio,301167,301262,0.09431,five,SATISFIED,SATISFIED
Sensor0,bom,301364,301456,0.09203,five,SATISFIED,SATISFIED
Sensor0,medio,302463,302557,0.09358,five,SATISFIED,SATISFIED
Sensor0,bom,302863,302958,0.09468,five,SATISFIED,SATISFIED
Sensor0,ruim,304763,304859,0.0965,five,SATISFIED,SATISFIED
Sensor0,medio,305661,305756,0.09535,five,SATISFIED,SATISFIED
Sensor0,ruim,306062,306157,0.09437,five,SATISFIED,SATISFIED
Sensor0,medio,306163,306259,0.09562,five,SATISFIED,SATISFIED
Sensor0,bom,306466,306557,0.09176,five,SATISFIED,SATISFIED
Sensor0,ruim,308062,308157,0.09521,five,SATISFIED,SATISFIED
Sensor0,ruim,308662,308757,0.09428,five,SATISFIED,SATISFIED
Sensor0,ruim,308763,308.86,0.09659,five,SATISFIED,SATISFIED
Sensor0,ruim,315462,315559,0.09654,five,SATISFIED,SATISFIED
Sensor0,medio,319259,319355,0.09654,five,SATISFIED,SATISFIED
Sensor0,bom,319362,319.46,0.09838,five,SATISFIED,SATISFIED
Sensor0,medio,322266,322359,0.09321,five,SATISFIED,SATISFIED
Sensor0,bom,322964,323061,0.09658,five,SATISFIED,SATISFIED
Sensor0,medio,325463,325557,0.09342,five,SATISFIED,SATISFIED
Sensor0,bom,325563,325.66,0.09708,five,SATISFIED,SATISFIED
Sensor0,ruim,326864,326962,0.09816,five,SATISFIED,SATISFIED
Sensor0,medio,327065,327157,0.09201,five,SATISFIED,SATISFIED
Sensor0,ruim,327664,327758,0.09397,five,SATISFIED,SATISFIED
Sensor0,ruim,328063,328158,0.09537,five,SATISFIED,SATISFIED
Sensor0,ruim,328165,328.26,0.0952,five,SATISFIED,SATISFIED
Sensor0,ruim,330262,330358,0.09659,five,SATISFIED,SATISFIED
Sensor0,ruim,330964,331.06,0.09604,five,SATISFIED,SATISFIED
Sensor0,ruim,331263,331357,0.09472,five,SATISFIED,SATISFIED
Sensor0,medio,336063,336157,0.09468,five,SATISFIED,SATISFIED
Sensor0,ruim,336363,336458,0.09528,five,SATISFIED,SATISFIED
Sensor0,medio,337962,338.06,0.09731,five,SATISFIED,SATISFIED
Sensor0,medio,338164,338258,0.09357,five,SATISFIED,SATISFIED
Sensor0,ruim,343465,343556,0.09127,five,SATISFIED,SATISFIED
Sensor0,ruim,343563,343.66,0.09741,five,SATISFIED,SATISFIED
Sensor0,medio,344163,344261,0.09833,five,SATISFIED,SATISFIED
Sensor0,ruim,345863,345956,0.09254,five,SATISFIED,SATISFIED
Sensor0,ruim,346157,346257,0.09996,five,SATISFIED,SATISFIED
Sensor0,ruim,351163,351256,0.0935,five,SATISFIED,SATISFIED
Sensor0,medio,352764,352859,0.09453,five,SATISFIED,SATISFIED
Sensor0,medio,352865,352959,0.09396,five,SATISFIED,SATISFIED
Sensor0,ruim,360263,360356,0.09363,five,SATISFIED,SATISFIED
Sensor0,medio,361164,361256,0.0916,five,SATISFIED,SATISFIED
Sensor0,bom,361.46,361555,0.09532,five,SATISFIED,SATISFIED
Sensor0,ruim,362163,362259,0.09573,five,SATISFIED,SATISFIED
Sensor0,medio,365164,365258,0.09344,five,SATISFIED,SATISFIED
Sensor0,medio,365565,365659,0.09425,five,SATISFIED,SATISFIED
Sensor0,ruim,367363,367457,0.09403,five,SATISFIED,SATISFIED
Sensor0,medio,367463,367556,0.09307,five,SATISFIED,SATISFIED
Sensor0,bom,367664,367758,0.09368,five,SATISFIED,SATISFIED
Sensor0,medio,367961,368053,0.09202,five,SATISFIED,SATISFIED
Sensor0,bom,368165,368258,0.09345,five,SATISFIED,SATISFIED
Sensor0,ruim,376263,376356,0.09345,five,SATISFIED,SATISFIED
Sensor0,medio,376965,377059,0.09423,five,SATISFIED,SATISFIED
Sensor0,medio,377065,377159,0.09354,five,SATISFIED,SATISFIED
Sensor0,ruim,385361,385459,0.09747,five,SATISFIED,SATISFIED
Sensor0,ruim,386065,386161,0.09567,five,SATISFIED,SATISFIED
Sensor0,ruim,386363,386459,0.09635,five,SATISFIED,SATISFIED
Sensor0,medio,397661,397758,0.09626,five,SATISFIED,SATISFIED
Sensor0,ruim,397764,397859,0.09481,five,SATISFIED,SATISFIED
Sensor0,medio,398.06,398156,0.09589,five,SATISFIED,SATISFIED
Sensor0,bom,398162,398259,0.09697,five,SATISFIED,SATISFIED
Sensor0,medio,401563,401657,0.09374,five,SATISFIED,SATISFIED
Sensor0,bom,401763,401854,0.09051,five,SATISFIED,SATISFIED
Sensor0,ruim,404365,404458,0.09279,five,SATISFIED,SATISFIED
Sensor0,ruim,405363,405457,0.09447,five,SATISFIED,SATISFIED
Sensor0,ruim,405464,405558,0.09466,five,SATISFIED,SATISFIED
Sensor0,medio,408461,408557,0.09569,five,SATISFIED,SATISFIED
Sensor0,bom,408962,409057,0.09498,five,SATISFIED,SATISFIED
Sensor0,medio,411061,411156,0.09528,five,SATISFIED,SATISFIED
Sensor0,bom,411363,411457,0.0948,five,SATISFIED,SATISFIED
Sensor0,medio,411761,411858,0.09767,five,SATISFIED,SATISFIED
Sensor0,ruim,412164,412258,0.0936,five,SATISFIED,SATISFIED
Sensor0,medio,413262,413358,0.09581,five,SATISFIED,SATISFIED
Sensor0,medio,413466,413562,0.09605,five,SATISFIED,SATISFIED
Sensor0,medio,419162,419256,0.09451,five,SATISFIED,SATISFIED
Sensor0,bom,419364,419457,0.0933,five,SATISFIED,SATISFIED
Sensor0,ruim,422461,422556,0.09509,five,SATISFIED,SATISFIED
Sensor0,ruim,422562,422658,0.09589,five,SATISFIED,SATISFIED
Sensor0,ruim,422665,422757,0.0929,five,SATISFIED,SATISFIED
Sensor0,ruim,422764,422858,0.09463,five,SATISFIED,SATISFIED
Sensor0,ruim,422865,422.96,0.09478,five,SATISFIED,SATISFIED
Sensor0,ruim,427264,427358,0.09362,five,SATISFIED,SATISFIED
Sensor0,ruim,428562,428656,0.0943,five,SATISFIED,SATISFIED
Sensor0,ruim,429063,429157,0.09466,five,SATISFIED,SATISFIED
Sensor0,medio,438362,438456,0.09342,five,SATISFIED,SATISFIED
Sensor0,bom,438663,438756,0.09354,five,SATISFIED,SATISFIED
Sensor0,ruim,439165,439257,0.09254,five,SATISFIED,SATISFIED
Sensor0,medio,440163,440258,0.09461,five,SATISFIED,SATISFIED
Sensor0,bom,440264,440359,0.09445,five,SATISFIED,SATISFIED
Sensor0,medio,441961,442058,0.09681,five,SATISFIED,SATISFIED
Sensor0,bom,442764,442859,0.09564,five,SATISFIED,SATISFIED
Sensor0,medio,444861,444958,0.09707,five,SATISFIED,SATISFIED
Sensor0,bom,444965,445.06,0.09486,five,SATISFIED,SATISFIED
Sensor0,medio,448.66,448758,0.09799,five,SATISFIED,SATISFIED
Sensor0,ruim,448765,448859,0.09425,five,SATISFIED,SATISFIED
Sensor0,medio,448963,449059,0.09543,five,SATISFIED,SATISFIED
Sensor0,ruim,449466,449.56,0.09404,five,SATISFIED,SATISFIED
Sensor0,ruim,450667,450762,0.09444,five,SATISFIED,SATISFIED
Sensor0,ruim,450768,450862,0.09352,five,SATISFIED,SATISFIED
Sensor0,medio,451264,451362,0.09783,five,SATISFIED,SATISFIED
Sensor0,ruim,451564,451658,0.09364,five,SATISFIED,SATISFIED
Sensor0,ruim,451862,451958,0.09597,five,SATISFIED,SATISFIED
Sensor0,ruim,452563,452657,0.09349,five,SATISFIED,SATISFIED
Sensor0,ruim,452663,452756,0.09358,five,SATISFIED,SATISFIED
Sensor0,medio,455465,455559,0.09464,five,SATISFIED,SATISFIED
Sensor0,ruim,455763,455859,0.09602,five,SATISFIED,SATISFIED
Sensor0,ruim,457262,457357,0.09548,five,SATISFIED,SATISFIED
Sensor0,ruim,457465,457557,0.09223,five,SATISFIED,SATISFIED
Sensor0,ruim,457665,457758,0.09253,five,SATISFIED,SATISFIED
Sensor0,medio,457763,457855,0.09198,five,SATISFIED,SATISFIED
Sensor0,ruim,458363,458461,0.09756,five,SATISFIED,SATISFIED
Sensor0,medio,458863,458958,0.09504,five,SATISFIED,SATISFIED
Sensor0,medio,458964,459.06,0.09534,five,SATISFIED,SATISFIED
Sensor0,medio,460861,460954,0.09334,five,SATISFIED,SATISFIED
Sensor0,bom,460961,461.06,0.09947,five,SATISFIED,SATISFIED
Sensor0,ruim,467564,467659,0.09514,five,SATISFIED,SATISFIED
Sensor0,ruim,467666,467758,0.09257,five,SATISFIED,SATISFIED
Sensor0,ruim,468063,468157,0.09478,five,SATISFIED,SATISFIED
Sensor0,ruim,474061,474156,0.0958,five,SATISFIED,SATISFIED
Sensor0,medio,475.66,475756,0.09558,five,SATISFIED,SATISFIED
Sensor0,bom,476162,476257,0.09422,five,SATISFIED,SATISFIED
Sensor0,ruim,477164,477258,0.09324,five,SATISFIED,SATISFIED
Sensor0,ruim,477264,477.36,0.09556,five,SATISFIED,SATISFIED
Sensor0,ruim,478663,478756,0.09232,five,SATISFIED,SATISFIED
Sensor0,medio,478962,479057,0.09448,five,SATISFIED,SATISFIED
Sensor0,bom,479063,479159,0.09564,five,SATISFIED,SATISFIED
Sensor0,medio,492563,492657,0.09427,five,SATISFIED,SATISFIED
Sensor0,bom,492765,492859,0.09418,five,SATISFIED,SATISFIED
Sensor0,ruim,493366,493457,0.0915,five,SATISFIED,SATISFIED
Sensor0,medio,494564,494.66,0.09586,five,SATISFIED,SATISFIED
Sensor0,ruim,494968,495.06,0.09222,five,SATISFIED,SATISFIED
Sensor0,ruim,505663,505758,0.09547,five,SATISFIED,SATISFIED
Sensor0,ruim,506162,506257,0.09491,five,SATISFIED,SATISFIED
Sensor0,medio,507164,507259,0.09465,five,SATISFIED,SATISFIED
Sensor0,ruim,507564,507657,0.09266,five,SATISFIED,SATISFIED
Sensor0,medio,509561,509658,0.09691,five,SATISFIED,SATISFIED
Sensor0,bom,509664,509.76,0.09519,five,SATISFIED,SATISFIED
Sensor0,medio,514163,514258,0.09566,five,SATISFIED,SATISFIED
Sensor0,ruim,514265,514359,0.09345,five,SATISFIED,SATISFIED
Sensor0,medio,514365,514459,0.09409,five,SATISFIED,SATISFIED
Sensor0,bom,514563,514.66,0.09687,five,SATISFIED,SATISFIED
Sensor0,medio,514966,515.06,0.0942,five,SATISFIED,SATISFIED
Sensor0,bom,515466,515558,0.09177,five,SATISFIED,SATISFIED
Sensor0,medio,517963,518058,0.09458,five,SATISFIED,SATISFIED
Sensor0,bom,518164,518259,0.09466,five,SATISFIED,SATISFIED
Sensor0,ruim,527461,527558,0.09708,five,SATISFIED,SATISFIED
Sensor0,medio,527762,527857,0.0953,five,SATISFIED,SATISFIED
Sensor0,bom,527864,527959,0.09561,five,SATISFIED,SATISFIED
Sensor0,medio,529262,529356,0.09407,five,SATISFIED,SATISFIED
Sensor0,bom,529464,529557,0.09279,five,SATISFIED,SATISFIED
Sensor0,ruim,529666,529757,0.0907,five,SATISFIED,SATISFIED
Sensor0,ruim,530662,530757,0.09481,five,SATISFIED,SATISFIED
Sensor0,ruim,530864,530957,0.09345,five,SATISFIED,SATISFIED
Sensor0,ruim,532763,532861,0.09819,five,SATISFIED,SATISFIED
Sensor0,ruim,533163,533259,0.0965,five,SATISFIED,SATISFIED
Sensor0,ruim,538962,539057,0.09473,five,SATISFIED,SATISFIED
Sensor0,medio,539667,539.76,0.09306,five,SATISFIED,SATISFIED
Sensor0,bom,539767,539.86,0.09344,five,SATISFIED,SATISFIED
Sensor0,medio,549363,549458,0.09564,five,SATISFIED,SATISFIED
Sensor0,bom,549661,549757,0.09635,five,SATISFIED,SATISFIED
Sensor0,ruim,550063,550158,0.09546,five,SATISFIED,SATISFIED
Sensor0,medio,551062,551157,0.09482,five,SATISFIED,SATISFIED
Sensor0,bom,551264,551355,0.09147,five,SATISFIED,SATISFIED
Sensor0,medio,561262,561356,0.09432,five,SATISFIED,SATISFIED
Sensor0,bom,561465,561558,0.09296,five,SATISFIED,SATISFIED
Sensor0,ruim,571662,571756,0.09403,five,SATISFIED,SATISFIED
Sensor0,ruim,572262,572359,0.0964,five,SATISFIED,SATISFIED
Sensor0,ruim,572465,572559,0.0936,five,SATISFIED,SATISFIED
Sensor0,medio,577066,577159,0.09303,five,SATISFIED,SATISFIED
Sensor0,ruim,577564,577656,0.09248,five,SATISFIED,SATISFIED
Sensor0,medio,577965,578057,0.09215,five,SATISFIED,SATISFIED
Sensor0,ruim,578365,578456,0.09122,five,SATISFIED,SATISFIED
Sensor0,medio,579463,579558,0.09539,five,SATISFIED,SATISFIED
Sensor0,bom,579565,579659,0.09427,five,SATISFIED,SATISFIED
Sensor0,medio,587362,587453,0.09157,five,SATISFIED,SATISFIED
Sensor0,bom,587661,587758,0.09655,five,SATISFIED,SATISFIED
Sensor0,medio,588062,588158,0.09617,five,SATISFIED,SATISFIED
Sensor0,bom,588265,588.36,0.09486,five,SATISFIED,SATISFIED
Sensor0,medio,591862,591.96,0.0978,five,SATISFIED,SATISFIED
Sensor0,bom,592167,592.26,0.09341,five,SATISFIED,SATISFIED
Sensor0,ruim,594061,594157,0.09574,five,SATISFIED,SATISFIED
Sensor0,medio,594361,594456,0.09482,five,SATISFIED,SATISFIED
Sensor0,bom,594764,594857,0.09353,five,SATISFIED,SATISFIED
Sensor1,medio,3.14197,3.23777,0.0958,five,SATISFIED,SATISFIED
Sensor1,bom,3.89969,3.94317,0.04347,five,SATISFIED,SATISFIED
Sensor1,medio,4.9586,5.0475,0.08891,five,SATISFIED,SATISFIED
Sensor1,bom,5.16102,5.24711,0.08609,five,SATISFIED,SATISFIED
Sensor1,ruim,9.76822,9.85645,0.08823,five,SATISFIED,SATISFIED
Sensor1,medio,13.6664,13.7543,0.08792,five,SATISFIED,SATISFIED
Sensor1,ruim,13872,13.9577,0.08565,five,SATISFIED,SATISFIED
Sensor1,ruim,16.1717,16.2578,0.08604,five,SATISFIED,SATISFIED
Sensor1,medio,16.2724,16.3606,0.08821,five,SATISFIED,SATISFIED
Sensor1,medio,16.4707,16.5577,0.08706,five,SATISFIED,SATISFIED
Sensor1,ruim,29171,29.2582,0.08729,five,SATISFIED,SATISFIED
Sensor1,ruim,29.3703,29.4576,0.08723,five,SATISFIED,SATISFIED
Sensor1,medio,29.5697,29.6587,0.08899,five,SATISFIED,SATISFIED
Sensor1,ruim,30.4697,30.5561,0.08636,five,SATISFIED,SATISFIED
Sensor1,ruim,36.3679,36.4561,0.08825,five,SATISFIED,SATISFIED
Sensor1,ruim,36.4698,36.5591,0.08935,five,SATISFIED,SATISFIED
Sensor1,ruim,44.1769,44.2606,0.0837,five,SATISFIED,SATISFIED
Sensor1,ruim,44.5701,44.6571,0.08698,five,SATISFIED,SATISFIED
Sensor1,ruim,44.6693,44.7553,0.08698,five,SATISFIED,SATISFIED
Sensor1,ruim,45.4724,45.5575,0.08512,five,SATISFIED,SATISFIED
Sensor1,ruim,45.5717,45.6609,0.08922,five,SATISFIED,SATISFIED
Sensor1,bom,45.8698,45.9576,0.08775,five,SATISFIED,SATISFIED
Sensor1,ruim,49.9693,50.0589,0.08958,five,SATISFIED,SATISFIED
Sensor1,bom,50.7684,50.8572,0.08875,five,SATISFIED,SATISFIED
